"","Year","offshore dolphins","coastal dolphins","seabirds","pelagic sharks","large demersal sharks","small sharks and rays","pelagic piscivores","king mackerel juv","king mackerel adult","Spanish mackerel juv","Spanish mackerel adult","cobia","greater amberjack","red snapper 0","red snapper 1-2","red snapper 3+","vermilion snapper","grey snapper","other snapper","gag 0","gag 1","gag 2","gag 3","gag 4","gag 5+","red grouper 0","red grouper 1","red grouper 2","red grouper 3","red grouper 4","red grouper 5+","black grouper","yellowedge grouper","scamp","goliath grouper","other SWG","other DWG","blueline tilefish","golden tilefish","lionfish juv","lionfish adult","gray triggerfish","red porgy","hogfish","black sea bass","reef carnivores","reef crustacean eaters","reef invertivores","medium reef omnivores","small reef omnivores","reef planktivores","coastal piscivores","offshore demersal carnivores","nearshore demersal carnivores","demersal omnivores","sardine herring scad","nearshore small pelagics","offshore small pelagics","mullet","squid","shrimp","large crabs","stomatopods","echinoderms","gastropods","bivalves","sessile epibenthos","mobile epifauna","small infauna","meiobenthos","carnivorous zooplankton","herbivorous zooplankton","omnivorous zooplankton","ichthyoplankton","jellyfish","microbes","anthozoans","macroalgae","microphytobenthos","phytoplankton","seagrass","water column detritus","sediment detritus"
"1",1,0.01491169,0.01701042,0.004749491,0.08565885,0.1001709,0.2429608,0.1784124,0.0006805352,0.1400154,0.00279,0.07793776,0.009464885,0.06010606,0.000289357,0.001004636,0.009221391,0.04124187,0.01362548,0.1465584,0.0003832805,0.003128462,0.006283213,0.007981714,0.006724532,0.01095488,0.0004243326,0.004769319,0.01361215,0.01893402,0.01922624,0.03166062,0.01602564,0.008639914,0.007269735,0.001665765,0.01279006,0.01938868,0.004678775,0.006549949,1.498888e-05,0.0002364643,0.02995423,0.02954303,0.01700826,0.03048451,1.846724,1.040747,0.668559,0.3860614,1.335657,0.330893,0.3638479,0.3291184,1.147777,3.505417,2.051063,1.74443,0.4648024,0.3076254,0.6131098,0.8293986,9.069684,1.050906,1.921295,3.163659,12.72875,20.04732,14.24039,3.962747,27.06269,1.862567,6.007305,4.359211,0.2390949,4.941871,8.867739,0.2260112,28.20638,14.67064,9.116173,124.4012,93.62018,251.2367
"2",2,0.01398544,0.01679892,0.004455892,0.0827347,0.09199747,0.2359206,0.1546347,0.0006519426,0.1132975,0.002842544,0.07612296,0.008586244,0.07489812,0.000271349,0.001029563,0.006803188,0.03900917,0.01177706,0.1286608,0.0003812941,0.00333164,0.007365715,0.007384247,0.005833144,0.009600201,0.0003655199,0.004373164,0.0137,0.02092212,0.0201272,0.02881858,0.01344476,0.005512244,0.006458776,0.001647044,0.01333582,0.01574871,0.003611118,0.006727075,1.294531e-05,0.0001918393,0.03237509,0.02374606,0.02198459,0.0276406,2.095398,0.9925688,0.5950704,0.363433,1.88995,0.3424951,0.3324434,0.2519367,1.072586,3.514322,2.043412,1.619186,0.4505436,0.2573057,0.6436202,0.8929717,8.617198,0.7179138,1.956998,3.332484,13.40053,19.0136,14.19353,3.92298,24.71804,1.754572,6.066951,4.380054,0.2431557,4.623457,8.730657,0.2075688,29.11066,15.57668,9.34416,126.5849,91.30927,262.924
"3",3,0.01311003,0.01659564,0.004194093,0.08007258,0.0853131,0.2313611,0.1380818,0.0006296624,0.1101433,0.002772379,0.07755829,0.007908912,0.09008726,0.0002659636,0.001039369,0.005295783,0.03794819,0.01087708,0.1177144,0.0003967745,0.003486889,0.007286856,0.007542657,0.004345604,0.008134847,0.000326628,0.004097871,0.01287524,0.02105376,0.02055877,0.02465327,0.01162743,0.003570261,0.005917501,0.001526986,0.01425816,0.01292317,0.002808123,0.007100487,1.299291e-05,0.0001851657,0.03502996,0.0202072,0.02522822,0.02546812,2.219373,0.9593695,0.5641934,0.3486836,2.28497,0.3579787,0.3210271,0.2238919,1.071165,3.612843,2.041274,1.51576,0.4559041,0.2223019,0.6813383,0.9583732,8.195233,0.5506791,2.053346,3.605742,13.83433,18.53265,14.71294,3.99053,24.57572,1.795916,6.179705,4.465917,0.2521295,4.437711,9.38359,0.2001951,28.97329,15.78014,9.467723,127.1307,93.65867,261.6429
"4",4,0.01229905,0.01641632,0.003974801,0.07796562,0.0799614,0.2281587,0.1273254,0.0006144917,0.1089172,0.002758946,0.07899144,0.007246522,0.1048045,0.000266183,0.00103698,0.00432389,0.03755824,0.01036888,0.1110182,0.0004174106,0.003624481,0.00673913,0.006658833,0.004125045,0.006555333,0.000284804,0.003935887,0.01213734,0.01955409,0.02036338,0.0208125,0.01031311,0.002504475,0.005577569,0.001400585,0.01537365,0.01078216,0.002233071,0.007648963,1.330125e-05,0.0001883314,0.03734538,0.01800663,0.02726021,0.02362918,2.274388,0.9402733,0.5553133,0.3382578,2.579902,0.3716899,0.3117256,0.217185,1.086892,3.666502,2.055667,1.44196,0.4677094,0.1972531,0.7221257,1.00687,7.969305,0.4766517,2.159135,3.860053,14.2561,18.3691,15.08609,3.997251,25.30889,1.809953,6.316235,4.576421,0.2626581,4.706919,9.129196,0.1978474,29.09911,16.0078,9.640472,128.1401,95.04746,264.2287
"5",5,0.01155415,0.01625886,0.003792594,0.07622075,0.07619914,0.2266712,0.1206719,0.0005983583,0.1050771,0.002771393,0.08136287,0.00665041,0.1172264,0.0002627765,0.001031968,0.003671659,0.03761956,0.0100912,0.1070406,0.0004438232,0.003693441,0.006141088,0.005525388,0.003420043,0.005747908,0.0002531408,0.003680395,0.01162074,0.01804855,0.01887016,0.01879141,0.009446784,0.002006127,0.005391996,0.001308271,0.01652822,0.009204973,0.001834917,0.008350705,1.414287e-05,0.0001982862,0.03941496,0.0166521,0.02849059,0.02211746,2.296311,0.932229,0.5549955,0.3312003,2.795919,0.3845719,0.3060284,0.2225319,1.114207,3.714592,2.060959,1.386285,0.4828491,0.1806078,0.7599869,1.053825,7.950531,0.4393751,2.258137,4.057992,14.49074,18.31793,15.31887,4.054427,25.20057,1.828867,6.413382,4.669487,0.2685387,4.751738,9.15495,0.1979195,29.31187,16.4559,9.822991,128.6436,95.37119,271.0337
"6",6,0.01087454,0.01612937,0.003644903,0.0751931,0.07385513,0.2270277,0.1178563,0.0005904232,0.1043658,0.002801599,0.08514953,0.006354451,0.1298989,0.0002610632,0.0010291,0.003330088,0.03806461,0.01001602,0.1051712,0.0004555501,0.003966799,0.005976857,0.004836251,0.002904848,0.005227266,0.0002399363,0.003557724,0.01086468,0.0170722,0.01787912,0.01812334,0.008984739,0.001807497,0.005332924,0.001350962,0.01765568,0.008064575,0.00156158,0.009158622,1.480668e-05,0.0002082968,0.04152054,0.01590136,0.02943605,0.02108485,2.30506,0.9323834,0.5598315,0.327235,2.941973,0.3969908,0.3065008,0.2365201,1.14916,3.750789,2.065079,1.332079,0.5014531,0.1702925,0.7946686,1.105261,7.908514,0.4257534,2.341872,4.21179,14.63028,18.36796,15.64791,4.108899,24.88881,1.875232,6.506758,4.762454,0.2752952,4.617581,9.271722,0.1996769,29.27292,16.62577,9.910886,128.5939,96.3352,274.0778
"7",7,0.01025705,0.01603307,0.003526655,0.07420451,0.07147884,0.2280793,0.1178127,0.0005789141,0.1040398,0.002740716,0.09228435,0.006214242,0.1450463,0.0002614552,0.001024178,0.003015992,0.03853292,0.009924254,0.1038551,0.0004585566,0.004090325,0.006315932,0.004609514,0.002536435,0.004865419,0.0002413522,0.003521062,0.01044664,0.01575689,0.01716503,0.01779249,0.008703868,0.001770239,0.005340436,0.001343824,0.01870107,0.007243588,0.001374739,0.01001496,1.549796e-05,0.0002184946,0.0433063,0.0155297,0.03023347,0.02041514,2.298526,0.9353268,0.5612466,0.3245746,3.032317,0.4027735,0.3103229,0.2524456,1.178013,3.757926,2.062895,1.283211,0.5162289,0.168767,0.82054,1.135999,7.792981,0.4224313,2.405431,4.324769,14.76896,18.46128,15.87869,4.120812,25.12625,1.910457,6.588589,4.827384,0.2811268,4.668537,9.462883,0.2022098,29.46303,16.8136,10.06114,129.2225,97.65955,274.7179
"8",8,0.009694907,0.01595962,0.003431745,0.07410506,0.06949714,0.2294077,0.1204097,0.0005739163,0.1075051,0.002702796,0.09859592,0.006185926,0.1621179,0.0002621507,0.001028811,0.002844924,0.03928537,0.009950172,0.1036882,0.0004548866,0.004219457,0.006761673,0.00495445,0.002461384,0.004682375,0.0002452766,0.003579501,0.0103778,0.01511071,0.01592277,0.0177102,0.008614303,0.001792824,0.005396809,0.001439151,0.01963163,0.006636093,0.001241582,0.01080867,1.622033e-05,0.0002292967,0.04471718,0.01539741,0.0308748,0.02001071,2.288685,0.9415808,0.5634584,0.3239142,3.114556,0.4079193,0.3139919,0.2672344,1.198659,3.759666,2.06774,1.248633,0.5292868,0.1695621,0.8416746,1.163204,7.743776,0.4262407,2.466324,4.437253,14.93493,18.63474,16.18474,4.161282,25.72826,1.955416,6.690254,4.916001,0.287868,4.832458,9.460936,0.2053456,29.7492,16.89326,10.19198,129.7329,98.86823,277.5092
"9",9,0.009182486,0.01589992,0.003353694,0.07391239,0.0675576,0.2308837,0.1222602,0.0005692989,0.1039457,0.002660072,0.1015567,0.006146292,0.1790829,0.0002614365,0.001020606,0.002600797,0.04000117,0.009949249,0.1038842,0.0004563547,0.00422561,0.007258339,0.005376106,0.00254407,0.00451949,0.0002472509,0.003603742,0.01055823,0.01496822,0.01511462,0.01643784,0.008563607,0.001808582,0.005447315,0.001412394,0.02044917,0.006172467,0.001141318,0.01144937,1.669546e-05,0.0002344648,0.04569704,0.01542856,0.03140594,0.01978298,2.275041,0.9494986,0.5640299,0.3238522,3.18319,0.4086221,0.3121059,0.2814524,1.21063,3.76613,2.066351,1.222247,0.5408629,0.1643546,0.8582444,1.187819,7.759923,0.4356938,2.520782,4.517832,15.13055,18.80999,16.38002,4.191661,25.3859,1.994867,6.804561,5.014838,0.2934796,4.778816,9.41982,0.2088585,30.26848,17.25281,10.38037,129.7529,99.45167,282.2422
"10",10,0.008715961,0.01584843,0.003286094,0.07293963,0.06529465,0.2319087,0.1223217,0.00054644,0.09942716,0.002571608,0.1000999,0.006005885,0.1917772,0.0002605684,0.001019825,0.002353245,0.0405963,0.009946322,0.1041934,0.0004500173,0.004256809,0.007470465,0.005812284,0.002672968,0.00440645,0.0002337868,0.003571305,0.01058131,0.01513028,0.01475677,0.01463431,0.008465825,0.00180528,0.005476702,0.001382775,0.0211389,0.005811019,0.001064976,0.01191788,1.708206e-05,0.0002401853,0.0461706,0.01556065,0.03172897,0.01965325,2.254011,0.9576989,0.5670752,0.3240881,3.217484,0.4116335,0.30432,0.296919,1.216205,3.811223,2.06912,1.197974,0.5551346,0.157327,0.8777757,1.199598,7.633131,0.4497102,2.570054,4.61206,15.30393,18.98849,16.68682,4.248597,25.41595,2.046016,6.861409,5.079974,0.297876,4.707225,9.700931,0.2128757,30.48123,17.36491,10.43293,130.1195,100.637,284.6689
