"runs","m.inf","m.slope","f.inf","f.slope","m_slope","m_sens","f_sens","FG","fxn","bid","lid"
1," 50000"," 50.0",NA,NA,"Flat","High",NA,"Gag groups","Mortality","1PamxWwdxZk0H4VrvhYj5b3kteqNUqgzv","1ezOcwawGCQX0rp7MSLKRZ99t4WiKdTny"
2," 50000","  2.5",NA,NA,"Medium flat","High",NA,"Gag groups","Mortality","1Bf8knXoajow5PdevF5AD0RcEkGJ16Pfr","1IQedZF6zTHlYGY3bQNhXFr0QmZiG7Nr_"
3," 50000","  1.0",NA,NA,"Medium steep","High",NA,"Gag groups","Mortality","14LaC9jJFMbtYmjzd_nTc_EsGn25UA2rb","1cJ3FDubpl-Vg4akQKpywpKPZOFYq5pCE"
4," 50000","  0.5",NA,NA,"Steep","High",NA,"Gag groups","Mortality","1HwWs3xwvvHEyNxQnuuK-kC0xFeKKEatF","1zmnsqaBUkJuPltnXugTFzykRT5X5kIK_"
5,"100000","100.0",NA,NA,"Flat","Medium high",NA,"Gag groups","Mortality","1fUnkwkzdsHvWzPkSoI3fguKJr2Ay85Ft","1TWki2n8_q1ETyYkFMJNwGJVzsi4eo7tl"
6,"100000","  5.0",NA,NA,"Medium flat","Medium high",NA,"Gag groups","Mortality","1qpwQdkW5gP8CNH4VPDU558LRa8hYFb7x","1lBuybH8c2cooBjL5Mck8lfXzNxl1-dLU"
7,"100000","  2.0",NA,NA,"Medium steep","Medium high",NA,"Gag groups","Mortality","1TP3KynZ9lv0_gedW01bl5U91UidUDIej","1LRDlKPrZFnvvPTMq4Lk4XHDvAhAeHNUM"
8,"100000","  1.0",NA,NA,"Steep","Medium high",NA,"Gag groups","Mortality","1HepDvlSAxtvqxYnkostTlDnGljvvQwmC","1JtAcR_XI_P_gwNeEH_dZTmndEPF2HMgY"
9,"200000","200.0",NA,NA,"Flat","Medium",NA,"Gag groups","Mortality","1SNsLeQTqStv209xbJygfwX-XKudjWwzh","1bw109gO67mtPt-oncSGgtFwBuTskvecD"
10,"200000"," 10.0",NA,NA,"Medium flat","Medium",NA,"Gag groups","Mortality","1285f2na66thVuM0GMMJZtc47ItHgC4c9","1vr9Fhw_3coTO2yU4yhx6rfu2wR_h2dMb"
11,"200000","  4.0",NA,NA,"Medium steep","Medium",NA,"Gag groups","Mortality","1i0UXgawr0o8wD0LMSJAsWeyilwuwqWGL","1rTTB-gl6JFp9oiFBTjSv1Op4696tHsZ7"
12,"200000","  2.0",NA,NA,"Steep","Medium",NA,"Gag groups","Mortality","1ZsVpMLxEaqNFJFJhu6HxCRlCZrA_-7uC","1qiZGhJ3iBRRkwSNglXGiS9DcGY5KhtyN"
13,"300000","300.0",NA,NA,"Flat","Medium low",NA,"Gag groups","Mortality","1dMyAqSKilQ1uWC7NNh5uRp5R-AjVXo2m","172iFG-oSY3yan0ijZCXg1H94g7j0npR8"
14,"300000"," 15.0",NA,NA,"Medium flat","Medium low",NA,"Gag groups","Mortality","1ZdFSCB4YgAPEPUEJvPqsFMl9IsF-OBwb","1LmEnmgo7izivC-0tZ61Upo1afujTUjAE"
15,"300000","  6.0",NA,NA,"Medium steep","Medium low",NA,"Gag groups","Mortality","1smByyKK6A8-S-hLkIK8UMrUKGx0oqPLQ","1JveTcaSKlTSsl-qsEVep1IcpS28nMH7Q"
16,"300000","  3.0",NA,NA,"Steep","Medium low",NA,"Gag groups","Mortality","16XgNBaQPKu_BphUtRflNZAn73o6oSZwz","1pySY7MMbe-hTfmkS7PAY7hUywlfJO6eR"
17,"400000","400.0",NA,NA,"Flat","Low",NA,"Gag groups","Mortality","1ZVwaqEl9jaCEFWSbrNiKBTfl_cQCCod3","1DS4E5tp7RCiEQMB7L7iicRDehI5Dxzwk"
18,"400000"," 20.0",NA,NA,"Medium flat","Low",NA,"Gag groups","Mortality","1iRXNXGTToLBHuaNB4_pMXNZWaSE-ukcg","1Bk72g034JBNtcIWYStogOLoB-imrBcs2"
19,"400000","  8.0",NA,NA,"Medium steep","Low",NA,"Gag groups","Mortality","1vN5pgz0QkbHSdAx_-yQDG7Vnyow0H5OZ","1WsU3sd7BEzTvdkRgjqlQXDKOB59m-g2p"
